Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.611916,0,0,0,0,0,0,0,0,-0.0394737,0,0,0,-4.77761,16.9847,-21.6159,9.58741,0.3,0,0,0,8.19684e-19,2.81488e-16,-7.30038e-16,4.37705e-16,0,0,0,0,0,0,0,0
0.547228,0,0,0,0,0,0,0,0,-0.0789474,-0.075728,-0.00386172,-0.104177,-0.641863,5.08605,-9.33811,5.37131,0.3,-1.68629e-17,-9.99281e-17,-1.41497e-16,-3.37263e-15,1.64219e-14,-2.66167e-14,1.43815e-14,0,0,0,0,0,0,0,0
0.56402,0,0,0,0,0,0,0,0,-0.118421,-0.053606,-0.0192108,-0.0250396,0.200337,-1.03791,1.85974,-1.07602,0.3,1.89223e-17,-1.3133e-16,-3.02188e-16,-4.14985e-15,1.84754e-14,-2.74932e-14,1.37965e-14,0,0,0,0,0,0,0,0
0.533314,0,0,0,0,0,0,0,0,-0.157895,-0.0861463,-0.00815659,-0.0123828,1.75294,-6.96468,10.1024,-5.14259,0.3,6.36309e-17,3.14229e-17,-3.81175e-16,6.10821e-15,-3.02374e-14,5.01177e-14,-2.79315e-14,0,0,0,0,0,0,0,0
0.539072,0,0,0,0,0,0,0,0,-0.197368,-0.0721002,-0.00153703,0.00515271,0.320496,-1.65156,2.7381,-1.51496,0.3,-4.96421e-17,6.68455e-17,-1.28676e-17,-8.06132e-15,3.72803e-14,-5.78545e-14,3.0494e-14,0,0,0,0,0,0,0,0
0.539981,0,0,0,0,0,0,0,0,-0.236842,-0.0781496,-0.00152155,-0.00223597,0.935985,-3.99631,6.03071,-3.14433,0.3,1.25775e-16,2.12169e-16,-1.78681e-16,-6.35175e-15,7.73073e-15,5.66497e-14,-3.53925e-14,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.276316,-0.0755448,-0.000284679,0.000960971,0.262291,-1.24022,2.00008,-1.0982,0.3,-2.27974e-16,8.97989e-17,6.42047e-16,1.30089e-14,-3.84338e-14,1.04255e-13,-4.57165e-14,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.315789,-0.0766664,-0.000282166,-0.000413949,0.666781,-2.95199,4.55949,-2.41938,0.3,1.63568e-16,3.31789e-17,-4.04105e-16,-1.17352e-15,4.99641e-14,-9.39148e-15,-5.93905e-16,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.355263,-0.0761834,-5.27749e-05,-4.09345e-05,0.324181,-1.48234,2.35028,-1.27668,0.3,-1.16827e-16,1.10458e-16,1.21461e-16,1.60566e-14,-5.4266e-14,1.7872e-14,5.23433e-14,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.394737,-0.0763914,-5.2313e-05,-7.67382e-05,0.632923,-2.82549,4.38375,-2.33282,0.3,1.57771e-16,1.89812e-16,-2.10076e-16,1.00483e-14,-3.57518e-15,7.60956e-14,-4.65972e-14,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.434211,-0.0763018,-7.10937e-06,-1.65207e-05,-3.58103,17.798,-29.561,16.5406,0.3,-2.43974e-16,1.10544e-16,7.2616e-16,1.50586e-14,-4.72641e-14,1.16826e-13,-5.17807e-14,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.473684,-0.0381702,4.84931e-06,7.11339e-06,-8.02238,35.8846,-55.7341,29.6788,0.3,1.14728e-16,-1.07548e-16,-1.80231e-16,-1.14519e-14,9.89417e-14,-8.75907e-14,4.15642e-14,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.513158,-0.0381619,-2.08802e-06,-3.06281e-06,-8.798,40.0781,-63.3926,34.3782,0.3,5.18546e-18,1.63141e-16,-2.30181e-16,5.25421e-15,-2.63399e-14,4.41561e-14,-2.48462e-14,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.552632,-0.0381655,8.9912e-07,1.31867e-06,-8.02259,35.8855,-55.7353,29.6794,0.3,-3.8708e-17,8.25216e-17,1.06768e-16,-1.16268e-15,6.21702e-15,-1.09662e-14,6.37005e-15,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.592105,-0.0381639,-3.87299e-07,-5.6755e-07,-8.7979,40.0777,-63.3921,34.378,0.3,-4.08208e-18,-8.94987e-17,2.50166e-18,-3.2921e-15,1.5452e-14,-2.43035e-14,1.29729e-14,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.631579,-0.0381646,1.67134e-07,2.43827e-07,-8.02263,35.8856,-55.7355,29.6795,0.3,4.97852e-17,8.52784e-17,-1.46637e-16,4.46513e-15,-2.24241e-14,3.75907e-14,-2.10747e-14,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.671053,-0.0381643,-7.2829e-08,-1.03717e-07,-8.79788,40.0777,-63.392,34.3779,0.3,-2.37759e-17,1.26743e-16,2.41844e-17,6.92985e-16,-4.12005e-15,7.88039e-15,-4.85305e-15,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.710526,-0.0381644,3.33678e-08,4.17102e-08,-8.02263,35.8856,-55.7355,29.6795,0.3,1.09648e-17,9.94204e-17,-1.41051e-17,2.48763e-15,-1.27519e-14,2.17494e-14,-1.23455e-14,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.75,-0.0381644,-1.90341e-08,-1.11137e-08,-8.79788,40.0777,-63.392,34.3779,0.3,-6.208e-18,1.09328e-16,7.55249e-18,1.35261e-15,-7.4322e-15,1.34439e-14,-7.99107e-15,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.789474,-0.0381644,1.90341e-08,-1.11137e-08,-8.02263,35.8856,-55.7355,29.6795,0.3,6.11734e-18,1.09132e-16,-7.50367e-18,2.73899e-15,-1.38996e-14,2.35077e-14,-1.32631e-14,0,0,0,0,0,0,0,0
0.52685,0,0,0,0,0,0,0,0,-0.828947,-0.0381644,-3.33678e-08,4.17102e-08,-8.79788,40.0777,-63.392,34.3779,0.3,-1.06329e-17,9.96525e-17,1.30726e-17,-5.2297e-17,-6.43838e-16,2.43892e-15,-1.95209e-15,0,0,0,0,0,0,0,0
0.536546,0,0,0,0,0,0,0,0,-0.868421,-0.0381643,7.2829e-08,-1.03717e-07,-8.02263,35.8856,-55.7355,29.6795,0.3,2.31538e-17,1.25984e-16,-2.80517e-17,6.13038e-15,-3.00229e-14,4.92208e-14,-2.71361e-14,0,0,0,0,0,0,0,0
