Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.553816,0,0,0,0,5.24224,-19.9928,27.4857,-13.2211,0,0,0,0,-0.000360144,0.00160828,-0.00241071,0.00122952,0.3,0,0,0,2.41162e-15,-1.13746e-14,1.77867e-14,-9.22857e-15,0,0,0,0,0,0,0,0
0.481021,0.0333333,0.0795141,0.0067402,0.137223,-0.606081,-1.17229,5.44144,-4.44991,0,6.53046e-06,1.25546e-05,-6.5772e-06,0.000694276,-0.00487519,0.00966388,-0.00615014,0.3,-1.55241e-17,1.18719e-16,4.95453e-16,2.95095e-15,-1.42591e-14,2.29212e-14,-1.25387e-14,0,0,0,0,0,0,0,0
0.510138,0.0666667,0.0525417,0.0218671,0.0329157,-1.09657,5.27165,-8.95753,5.16935,0,-2.1968e-05,-2.44882e-05,3.64744e-05,-0.00094115,0.00701467,-0.0136941,0.00839529,0.3,-4.88066e-17,-1.47432e-16,2.12082e-16,-6.8576e-15,3.49867e-14,-5.97313e-14,3.43035e-14,0,0,0,0,0,0,0,0
0.471949,0.1,0.0842656,0.00936716,-0.0161422,-2.82836,13.4128,-22.5791,13.2211,0,5.41205e-05,5.38385e-05,-8.92277e-05,0.00294767,-0.023632,0.0499709,-0.0332227,0.3,5.59252e-17,-5.13287e-17,-2.28221e-16,2.6659e-15,-1.56448e-14,3.08178e-14,-2.04202e-14,0,0,0,0,0,0,0,0
0.480484,0.133333,0.0708544,0.00425489,0.00638869,-1.35163,6.75068,-11.7695,7.03293,0,-0.000127036,-0.000123749,0.000209518,-0.00622786,0.0496542,-0.103482,0.0676603,0.3,-9.96776e-18,1.00717e-17,-4.80194e-16,-3.47045e-15,1.78011e-14,-3.03022e-14,1.72458e-14,0,0,0,0,0,0,0,0
0.474649,0.166667,0.0759739,0.00227471,0.00201693,-1.85697,9.192,-15.9453,9.52225,0,0.00029563,0.000286889,-0.000487486,0.0152807,-0.122805,0.258845,-0.171302,0.3,3.33666e-17,-1.23358e-17,-6.28804e-16,-3.36658e-15,1.5669e-14,-2.40283e-14,1.25563e-14,0,0,0,0,0,0,0,0
0.480484,0.2,0.0752948,0.00201516,-0.000888657,-1.46579,7.04894,-11.9414,6.99104,0,-0.000687138,-0.000667103,0.00113116,-0.0338936,0.269495,-0.561135,0.366746,0.3,6.82901e-17,2.63412e-16,-1.7403e-16,2.401e-14,-1.41609e-14,2.28266e-13,-1.37747e-13,0,0,0,0,0,0,0,0
0.474649,0.233333,0.0720309,0.00230283,0.00439446,3.72357,-20.9075,38.886,-24.2846,0,0.00160285,0.00157367,-0.00259429,0.092034,-0.714003,1.487,-0.978636,0.3,-2.07565e-16,-1.4446e-16,4.46401e-16,-1.47744e-14,6.87962e-15,-1.98139e-13,3.32765e-14,0,0,0,0,0,0,0,0
0.537877,0.266667,0.0410077,0.00410591,-0.00487071,5.7604,-26.0406,40.5862,-21.632,0,-0.00388234,-0.00422205,0.0052598,-0.233928,1.39831,-2.42185,1.36389,0.3,3.29005e-16,1.34686e-17,-1.26041e-15,-4.77551e-15,1.12519e-13,-4.04515e-14,1.12081e-14,0,0,0,0,0,0,0,0
0.823001,0.3,0.0251872,-0.0222721,-0.00582728,-0.573607,1.57346,-1.50817,0.50169,0,0.0127226,0.0229686,0.00554534,2.67326,-7.718,7.74008,-2.66723,0.3,-2.27458e-16,1.13025e-16,1.24974e-16,4.01834e-15,-1.86026e-14,1.79631e-14,-3.35639e-15,0,0,0,0,0,0,0,0
0.707233,0.292986,-0.0183728,0.00262885,0.00476837,-1.41193,4.81077,-5.70179,2.31427,0.0644911,0.0513057,-0.00681021,-0.00542959,4.4642,-15.2537,18.069,-7.32747,0.3,1.01961e-16,-5.59969e-17,-5.75176e-17,-5.07408e-15,2.09008e-14,-1.90971e-14,1.03202e-14,0,0,0,0,0,0,0,0
0.72376,0.272273,-0.0134932,-0.00484669,-0.00208071,-2.39926,7.88288,-9.01769,3.54369,0.125967,0.0332999,0.00129133,0.00228316,3.88249,-12.8706,14.8073,-5.84141,0.3,-4.2441e-17,2.75901e-17,3.11953e-17,-5.60845e-16,2.08359e-15,-2.59667e-15,1.08944e-15,0,0,0,0,0,0,0,0
0.708391,0.238828,-0.0269217,-0.00134972,0.00100519,-3.37874,11.4189,-13.4163,5.40704,0.181552,0.0350896,-0.00282135,-0.00114715,3.51387,-11.9614,14.1148,-5.70499,0.3,1.01249e-17,-7.48139e-18,6.43044e-17,5.67094e-16,-2.02405e-15,2.41178e-15,-9.66436e-16,0,0,0,0,0,0,0,0
0.710829,0.194216,-0.0310034,-0.00228115,-0.000296168,-4.04964,13.6355,-15.9573,6.40618,0.228649,0.02613,-0.00174219,0.000361699,2.7116,-9.19702,10.8094,-4.35193,0.3,-1.56145e-17,1.96679e-18,7.88958e-17,-1.83841e-16,6.96725e-16,-8.84519e-16,3.77309e-16,0,0,0,0,0,0,0,0
0.722164,0.140523,-0.037115,-0.00117781,0.000289629,-4.17848,13.8699,-15.9937,6.32471,0.265054,0.0198668,-0.00275277,-0.000255703,1.62551,-5.45468,6.33133,-2.51469,0.3,2.854e-18,-4.34197e-18,1.54122e-17,3.01718e-17,-8.0825e-17,5.45584e-17,-6.80423e-19,0,0,0,0,0,0,0,0
0.726946,0.0802585,-0.0399931,-0.000849344,5.50887e-05,-4.30065,14.1901,-16.2603,6.38906,0.289065,0.0109877,-0.00270009,4.73285e-05,0.675901,-2.28161,2.64966,-1.05032,0.3,-8.40252e-19,9.78403e-18,7.01193e-17,9.13478e-16,-3.16059e-15,3.66032e-15,-1.43222e-15,0,0,0,0,0,0,0,0
0.72668,0.0162417,-0.0416462,-0.000123821,0.000165367,-4.34868,14.3664,-16.4775,6.47922,0.29956,0.00232124,-0.00292354,-4.30314e-05,-0.268611,0.834966,-0.921441,0.35282,0.3,-3.05671e-17,-1.82654e-17,7.79614e-17,-1.90175e-15,6.69506e-15,-7.89486e-15,3.1417e-15,0,0,0,0,0,0,0,0
0.733995,-0.0485346,-0.0410742,0.00045363,0.000118333,-3.99125,13.0643,-14.8415,5.77948,0.296048,-0.00676655,-0.00283703,3.70527e-05,-1.13883,3.67657,-4.14196,1.60393,0.3,5.52241e-17,1.23475e-17,-1.01756e-16,-1.32519e-16,1.44563e-14,-3.69603e-17,-7.00888e-17,0,0,0,0,0,0,0,0
0.733995,-0.111041,-0.0387012,0.00107612,0.000130172,-3.65232,11.9662,-13.6017,5.2987,0.278693,-0.0154033,-0.00269247,4.28827e-05,-1.97087,6.40101,-7.2376,2.80956,0.3,2.26092e-17,6.76884e-17,-7.11282e-17,1.32429e-15,-4.7085e-15,5.6079e-15,-2.24945e-15,0,0,0,0,0,0,0,0
0.72668,-0.168356,-0.0344671,0.00161976,0.00010819,-3.30123,10.9371,-12.5656,4.94656,0.248307,-0.0233777,-0.00238988,7.79311e-05,-2.8451,9.35759,-10.704,4.20144,0.3,-3.24573e-17,1.31296e-17,2.11044e-17,-1.10422e-15,3.82954e-15,-4.45797e-15,1.76024e-15,0,0,0,0,0,0,0,0
0.733995,-0.217799,-0.0286435,0.00209995,9.3096e-05,-2.48746,8.17326,-9.30634,3.62953,0.20631,-0.0302341,-0.00198938,9.58971e-05,-3.3222,10.8336,-12.2796,4.77467,0.3,3.87745e-17,4.03828e-17,-2.1147e-17,2.46245e-15,-8.63715e-15,1.01592e-14,-4.03619e-15,0,0,0,0,0,0,0,0
0.72668,-0.257057,-0.021471,0.00247667,6.84935e-05,-1.80137,5.99679,-6.9094,2.72511,0.154666,-0.0356875,-0.0014899,0.000115152,-3.96833,13.0852,-14.9909,5.89017,0.3,-7.17079e-17,-2.17154e-17,4.11624e-17,2.76656e-15,1.08818e-15,-1.80816e-14,1.12105e-16,0,0,0,0,0,0,0,0
0.733995,-0.284296,-0.0132987,0.00273983,4.29349e-05,-0.862648,2.86906,-3.29026,1.28929,0.0957905,-0.0394677,-0.000923343,0.000126567,-4.05959,13.2642,-15.0523,5.85736,0.3,1.26571e-16,4.22142e-17,-1.51908e-16,-3.00862e-15,-3.98504e-16,-1.09739e-14,9.14815e-17,0,0,0,0,0,0,0,0
0.72668,-0.298241,-0.00450273,0.00287397,1.43394e-05,0.0313986,-0.0518663,0.0237915,5.57432e-15,0.0324357,-0.0414042,-0.000312424,0.000133052,-4.35794,14.3938,-16.5066,6.49002,0.3,-9.64886e-17,5.55993e-17,5.81704e-17,4.26201e-15,-4.13247e-15,1.6453e-14,-2.31067e-15,0,0,0,0,0,0,0,0
0.709915,-0.298241,0.00450273,0.00287397,-1.43394e-05,1.0827,-3.60378,4.19038,-1.67575,-0.0324357,-0.0414042,0.000312424,0.000133052,-4.75896,16.102,-18.9103,7.61306,0.3,7.78876e-17,5.99852e-18,-1.04927e-16,-6.36735e-15,-2.89771e-15,-2.46442e-14,-1.63433e-15,0,0,0,0,0,0,0,0
0.726832,-0.284296,0.0132987,0.00273983,-4.29349e-05,1.85647,-6.08344,6.94257,-2.72062,-0.0957905,-0.0394677,0.000923343,0.000126567,-3.93795,13.0256,-14.9494,5.88046,0.3,-1.34595e-18,6.78027e-17,-6.37089e-18,2.683e-15,-9.58206e-15,1.14678e-14,-4.62716e-15,0,0,0,0,0,0,0,0
0.709915,-0.257057,0.021471,0.00247667,-6.84935e-05,2.98085,-10.0317,11.7432,-4.71746,-0.154666,-0.0356875,0.0014899,0.000115152,-3.86452,13.1006,-15.4031,6.20584,0.3,-6.84099e-17,8.17501e-18,4.85627e-17,4.38999e-15,9.88079e-15,-1.20544e-14,4.96416e-15,0,0,0,0,0,0,0,0
0.726832,-0.217799,0.0286435,0.00209995,-9.3096e-05,3.33842,-10.9907,12.5782,-4.9384,-0.20631,-0.0302341,0.00198938,9.58971e-05,-2.79444,9.26722,-10.6524,4.19451,0.3,6.88516e-17,1.15174e-17,-4.03945e-17,-3.73367e-15,2.20841e-15,1.43116e-14,1.35344e-15,0,0,0,0,0,0,0,0
