Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.571571,0,0,0,0,2.18086,-6.20518,6.57741,-2.52046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.479831,0.0333333,0.109842,-0.0108906,-0.137215,-2.9904,13.945,-22.0235,12.1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.503036,0.0666667,0.0525681,0.0218966,0.0328718,-0.8701,4.29135,-7.49461,4.42757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.481921,0.1,0.0842004,0.00943197,-0.0160348,-3.12373,14.6712,-24.3784,14.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480484,0.133333,0.0710073,0.00440387,0.00613645,-1.32077,6.55129,-11.3673,6.76788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.474649,0.166667,0.075618,0.00262013,-0.00143008,-1.88152,9.42159,-16.4365,9.85241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480484,0.2,0.0761223,0.00281901,0.00224953,-1.35586,6.2198,-10.2256,5.86288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.474649,0.233333,0.0700965,0.00523036,0.00675086,-0.204038,0.810648,-1.33595,0.785791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.863773,0.266667,0.0678659,-0.013675,-0.0155608,0.296918,-0.933284,0.951455,-0.325448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91608,0.3,-0.024053,-0.0810179,-0.0302334,-0.10615,0.169821,-0.0759816,0.0111908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.483227,0,-0.106982,0.0604169,-0.019686,3.56365,-17.0233,28.3419,-16.2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.489824,-0.0333333,-0.0652326,-0.0104272,0.0125641,1.14921,-6.11956,10.8741,-6.52527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.474649,-0.0666667,-0.0787245,-0.00376092,-0.00641361,2.1665,-10.3481,17.5919,-10.3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
