Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.702778,0,0,0,0,2.71386,-7.92106,8.38469,-3.12103,0,0,0,0,-0.0124679,0.0442567,-0.0527445,0.0213643,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65423,0.05,0.0991205,-0.00800962,0.067199,-0.394758,0.154554,0.623703,-0.4941,0,0.000433401,0.000588144,-0.000216131,0.0196696,-0.0998402,0.144911,-0.0677332,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.693695,0.1,0.0516498,0.0131912,0.0205279,-0.357673,1.51808,-2.08372,0.933124,0,-0.00146494,-0.00116582,0.00118407,-0.0299034,0.155459,-0.219594,0.0983717,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.665605,0.15,0.0992176,0.000781056,-0.0154859,0.0700178,-0.875019,1.54372,-0.785853,0,0.00377742,0.0029903,-0.00249482,0.158528,-0.736435,1.02147,-0.463594,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990641,0.2,0.0352485,-0.0353456,0.000165208,-0.288635,0.703286,-0.576337,0.161619,0,-0.0127954,-0.016739,-0.00350934,-2.1676,5.16837,-4.29775,1.22942,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.994827,0.2,-2.78617e-05,0.0150309,5.45093e-06,0.326534,-0.908888,0.805072,-0.23795,-0.1,-0.0660149,0.000988932,0.0049709,-1.92642,4.74438,-4.02195,1.16396,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.886327,0.2,-0.0431071,-0.03543,-0.000115064,-0.712656,1.87102,-1.70984,0.538631,-0.2,-0.0170578,0.014716,-0.00169497,0.174357,-0.432737,0.377858,-0.11485,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.843249,0.12,-0.101265,-0.00818859,-0.00468726,0.0596065,0.0183657,-0.118974,0.0621122,-0.2,0.00568491,-0.00244644,-0.00186489,-0.059423,0.140635,-0.118174,0.0350785,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.817151,0.04,-0.0837188,-0.00181927,-0.000615087,-0.89717,2.66279,-2.73286,0.959579,-0.2,-0.0034295,0.000387694,0.0013265,0.0137797,-0.00582415,-0.0161577,0.0107212,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800617,-0.04,-0.0841383,-0.00410945,-0.00125174,-0.536941,1.53253,-1.54163,0.536564,-0.2,0.00397427,0.0010343,-0.00153946,0.0314109,-0.162591,0.209585,-0.0838179,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.915195,-0.12,-0.100531,-0.00197352,-0.0043984,-0.304122,0.988227,-0.982047,0.321597,-0.2,-0.0077338,-0.00358818,0.00265921,-0.0985577,0.34851,-0.3593,0.120035,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.915195,-0.2,-0.0416128,0.034728,0.000218352,0.3561,-0.862915,0.728364,-0.213742,-0.2,0.0222592,0.0173952,-0.000158929,2.19757,-5.72424,5.18172,-1.61044,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800617,-0.2,0.0142241,-0.00697995,-0.0054611,-0.192584,0.501019,-0.459638,0.148239,-0.12,0.0503228,-0.00395099,-0.00222171,3.71393,-11.158,11.6376,-4.15944,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.817151,-0.2,-0.00741465,0.00168063,0.00340354,0.0655055,-0.135279,0.0981415,-0.0249022,-0.04,0.0419979,0.00203449,0.000653751,3.53619,-10.3963,10.6043,-3.70776,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.843249,-0.2,0.00618007,0.000171799,-0.00340354,0.00775381,-0.0753578,0.104052,-0.0412087,0.04,0.0419979,-0.00203449,0.000653751,2.93397,-8.30586,8.18557,-2.76896,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.886327,-0.2,-0.0102313,-0.00701283,0.0054611,-0.383708,1.2218,-1.23571,0.415059,0.12,0.0503228,0.00395099,-0.00222171,2.46132,-6.76387,6.40642,-2.0742,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.886327,-0.2,0.0446925,0.034728,0.000386037,0.685875,-1.80524,1.65177,-0.520804,0.2,0.0222592,-0.0173952,-0.000158929,-0.23078,0.571491,-0.496434,0.150218,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.843249,-0.12,0.100531,0.00715399,0.00308575,1.03061,-3.34979,3.54971,-1.25606,0.2,-0.0077338,0.00358818,0.00265921,0.0900172,-0.221982,0.193,-0.0589869,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83869,-0.04,0.0420691,0.00205472,0.000625872,3.12066,-8.9408,8.88619,-3.02735,0.2,0.00397427,-0.0010343,-0.00153946,-0.0298264,0.0577973,-0.0389277,0.00898979,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.796506,0.04,0.0418594,-0.00209413,0.000708014,3.86162,-11.5762,12.079,-4.32589,0.2,-0.0034295,-0.000387694,0.0013265,-0.0119443,0.0880206,-0.123767,0.0516271,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.883411,0.12,0.0506325,0.0040943,-0.00234363,2.50407,-6.90759,6.56602,-2.13326,0.2,0.00568491,0.00244644,-0.00186489,0.0909452,-0.323303,0.341383,-0.117526,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973979,0.2,0.0215536,-0.017715,0.000132448,-0.240964,0.581876,-0.482517,0.137639,0.2,-0.0170578,-0.014716,-0.00169497,-2.29655,5.57119,-4.71615,1.37326,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12499,0.2,1.39309e-05,0.00751543,-4.8185e-06,0.0978438,-0.245459,0.192918,-0.0504328,0.1,-0.0660149,-0.000988932,0.0049709,-1.06362,2.33222,-1.75427,0.449781,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.679588,0.2,-0.0215609,-0.0176728,-8.26038e-05,-4.08376,14.261,-17.3453,7.2503,0,-0.0127954,0.016739,-0.00350934,0.264337,-0.870584,1.00094,-0.39917,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.632175,0.15,-0.0496088,0.000390528,0.00774296,-5.45652,21.0184,-27.9497,12.7026,0,0.00377742,-0.0029903,-0.00249482,-0.108731,0.376686,-0.452356,0.189432,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.632175,0.1,-0.0258249,0.0065956,-0.0102639,-5.29127,19.4741,-25.2239,11.2796,0,-0.00146494,0.00116582,0.00118407,0.0465563,-0.165882,0.202834,-0.0860616,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
